fine,Moran's I,P-value,num_cell,sample,region_abb,fullid
InN-Olf,0.020779603380778233,0.0,608,HZ12M04,TH,HZ12M04_coorect_TH
InN-Sncg,0.013122159646422944,0.0,1348,HZ12M04,TH,HZ12M04_coorect_TH
InN-Erbb4,0.009654982011859508,0.0,1194,HZ12M04,TH,HZ12M04_coorect_TH
InN-Calb2,0.006668752254490736,0.0,1995,HZ12M04,TH,HZ12M04_coorect_TH
InN-Sst,0.005826495460552409,2.77112012335837e-44,319,HZ12M04,TH,HZ12M04_coorect_TH
InN-Pvalb,0.0005362419891962384,5.348527907019373e-08,288,HZ12M04,TH,HZ12M04_coorect_TH
InN-Lamp5,-0.007974762456045352,0.28874591666771066,101,HZ12M04,TH,HZ12M04_coorect_TH
InN-Vip,-0.019581726486546245,0.7998557326205947,49,HZ12M04,TH,HZ12M04_coorect_TH
InN-Olf,0.01855139308721482,2.3658227341104117e-84,133,HZ12M05,BF,HZ12M05_coorect_BF
InN-Lamp5,0.006553882801109314,3.9024291909193004e-17,91,HZ12M05,BF,HZ12M05_coorect_BF
InN-Sncg,0.004301461329648323,1.73125260649729e-281,1059,HZ12M05,BF,HZ12M05_coorect_BF
InN-Erbb4,0.002083314909425138,9.869406826638978e-95,1055,HZ12M05,BF,HZ12M05_coorect_BF
InN-Calb2,0.0016496885566731894,0.0,3562,HZ12M05,BF,HZ12M05_coorect_BF
InN-Sst,-0.0009611969974083047,0.0010102809071857277,386,HZ12M05,BF,HZ12M05_coorect_BF
InN-Pvalb,-0.010571322144961625,0.7913283887890206,100,HZ12M05,BF,HZ12M05_coorect_BF
InN-Vip,-0.036852586942910895,0.8694272084993961,29,HZ12M05,BF,HZ12M05_coorect_BF
InN-Sncg,-0.00019894530225444203,1.2769053618658146e-08,447,HZ12M05,PFC,HZ12M05_coorect_PFC
InN-Sst,-0.0007393719790892816,0.0016276048095406682,528,HZ12M05,PFC,HZ12M05_coorect_PFC
InN-Vip,-0.0016158863040114857,0.0007898959796797274,152,HZ12M05,PFC,HZ12M05_coorect_PFC
InN-Pvalb,-0.002516024303809933,0.3180412550113816,326,HZ12M05,PFC,HZ12M05_coorect_PFC
InN-Erbb4,-0.003615245490264476,0.45301830552973,241,HZ12M05,PFC,HZ12M05_coorect_PFC
InN-Lamp5,-0.03468347787072366,0.4718522719982827,34,HZ12M05,PFC,HZ12M05_coorect_PFC
InN-Calb2,-0.06300879172583099,0.7223285726582245,16,HZ12M05,PFC,HZ12M05_coorect_PFC
InN-Olf,-0.08886315627283128,0.6172165746616831,13,HZ12M05,PFC,HZ12M05_coorect_PFC
