,Moran's I,P-value,num_cell,sample_region,sample,region,month
OPC,0.12333712934492172,0.0006131327524920985,1283.0,HZ12M02_Thalamus,HZ12M02,Thalamus,12M
Endo,0.12226893998343506,0.02243351671050305,877.0,HZ12M02_Thalamus,HZ12M02,Thalamus,12M
Astro,0.10242355901221177,1.5952987191748216e-52,9607.0,HZ12M02_Thalamus,HZ12M02,Thalamus,12M
Micro,0.09235605769595166,7.281284494174728e-13,3481.0,HZ12M02_Thalamus,HZ12M02,Thalamus,12M
Olig,0.04822579078283636,0.0001161378368759896,3303.0,HZ12M02_Thalamus,HZ12M02,Thalamus,12M
MSN,0.16292481081828725,0.36174306467825645,36.0,HZ12M03_Basal forebrain,HZ12M03,Basal forebrain,12M
SMC,0.09492506686339408,0.0015818516193902782,1165.0,HZ12M03_Basal forebrain,HZ12M03,Basal forebrain,12M
Micro,0.09153239568831671,0.0003178910503650356,1076.0,HZ12M03_Basal forebrain,HZ12M03,Basal forebrain,12M
Olig,0.07803818226577847,9.667340057653588e-10,2339.0,HZ12M03_Basal forebrain,HZ12M03,Basal forebrain,12M
Astro,0.0662116740059237,8.17741825737778e-09,3447.0,HZ12M03_Basal forebrain,HZ12M03,Basal forebrain,12M
Endo,0.05527245824347184,0.3636002147992754,484.0,HZ12M03_Basal forebrain,HZ12M03,Basal forebrain,12M
ExN,0.012109225977723901,0.4442384109141527,2282.0,HZ12M03_Basal forebrain,HZ12M03,Basal forebrain,12M
InN,0.004432257865041879,0.7043028803763105,3249.0,HZ12M03_Basal forebrain,HZ12M03,Basal forebrain,12M
OPC,-0.02075137967540753,0.7191079262495785,592.0,HZ12M03_Basal forebrain,HZ12M03,Basal forebrain,12M
Peri,-0.02123207218756961,0.6249829775635053,841.0,HZ12M03_Basal forebrain,HZ12M03,Basal forebrain,12M
Astro,0.14438290006022242,0.42591376502257006,36.0,HZ12M03_Hippocampal formation,HZ12M03,Hippocampal formation,12M
SMC,0.007795807794696858,0.7714730393643874,18.0,HZ12M03_Hippocampal formation,HZ12M03,Hippocampal formation,12M
ExN,-0.026275938783369177,0.9917466632626866,42.0,HZ12M03_Hippocampal formation,HZ12M03,Hippocampal formation,12M
Olig,-0.09906719314059147,0.3599672307814731,53.0,HZ12M03_Hippocampal formation,HZ12M03,Hippocampal formation,12M
SMC,0.39103027213519786,3.3246881560876317e-103,2888.0,HZ12M03_Prefrontal cortex,HZ12M03,Prefrontal cortex,12M
Peri,0.19165196606953272,7.084582582166379e-09,1122.0,HZ12M03_Prefrontal cortex,HZ12M03,Prefrontal cortex,12M
Astro,0.17927018332892344,1.0744294510037879e-99,7158.0,HZ12M03_Prefrontal cortex,HZ12M03,Prefrontal cortex,12M
OPC,0.17846322020672556,0.00031354573201003525,897.0,HZ12M03_Prefrontal cortex,HZ12M03,Prefrontal cortex,12M
ExN,0.10672998334536295,1.908596655607188e-301,30170.0,HZ12M03_Prefrontal cortex,HZ12M03,Prefrontal cortex,12M
Micro,0.08218049947736103,5.493148195052495e-18,4406.0,HZ12M03_Prefrontal cortex,HZ12M03,Prefrontal cortex,12M
InN,0.08014507058777927,3.7652511149727113e-16,7022.0,HZ12M03_Prefrontal cortex,HZ12M03,Prefrontal cortex,12M
Olig,0.05690060878652956,0.0023612312138897315,1598.0,HZ12M03_Prefrontal cortex,HZ12M03,Prefrontal cortex,12M
Endo,0.048827438041237944,0.1913904217817104,1100.0,HZ12M03_Prefrontal cortex,HZ12M03,Prefrontal cortex,12M
SMC,0.21814685394229397,9.079099082090382e-38,3732.0,HZ12M03_Striatum,HZ12M03,Striatum,12M
Peri,0.16838602536190256,1.690209124069448e-10,2007.0,HZ12M03_Striatum,HZ12M03,Striatum,12M
OPC,0.08266179701397883,0.05011078295932051,1212.0,HZ12M03_Striatum,HZ12M03,Striatum,12M
InN,0.06929184126550858,2.5654084620472007e-14,7380.0,HZ12M03_Striatum,HZ12M03,Striatum,12M
ExN,0.050315592065887135,1.1556807461411586e-13,10488.0,HZ12M03_Striatum,HZ12M03,Striatum,12M
Endo,0.05022483181458064,0.06609848395576483,1985.0,HZ12M03_Striatum,HZ12M03,Striatum,12M
Astro,0.04221477660188384,2.8657543597796637e-10,9714.0,HZ12M03_Striatum,HZ12M03,Striatum,12M
Micro,0.034633229274778014,0.002496416958164925,3853.0,HZ12M03_Striatum,HZ12M03,Striatum,12M
Olig,0.02446717973040443,0.014258764987650377,4139.0,HZ12M03_Striatum,HZ12M03,Striatum,12M
MSN,0.01374799687693851,0.04297127130667093,8901.0,HZ12M03_Striatum,HZ12M03,Striatum,12M
SMC,0.6650214397133646,2.005308683182695e-06,82.0,HZ12M04_Entorhinal area,HZ12M04,Entorhinal area,12M
MSN,0.3820788381982826,0.04555663028445212,54.0,HZ12M04_Entorhinal area,HZ12M04,Entorhinal area,12M
Astro,0.16426062790192378,5.766985505262573e-06,414.0,HZ12M04_Entorhinal area,HZ12M04,Entorhinal area,12M
Peri,0.13749067920267705,0.4290389870954614,47.0,HZ12M04_Entorhinal area,HZ12M04,Entorhinal area,12M
Micro,0.045302035122167,0.31109241343293914,242.0,HZ12M04_Entorhinal area,HZ12M04,Entorhinal area,12M
InN,0.019526294093713353,0.676724074831838,313.0,HZ12M04_Entorhinal area,HZ12M04,Entorhinal area,12M
ExN,-0.006124319016260276,0.8223770431851825,880.0,HZ12M04_Entorhinal area,HZ12M04,Entorhinal area,12M
OPC,-0.040798266037613364,0.8845857648216696,64.0,HZ12M04_Entorhinal area,HZ12M04,Entorhinal area,12M
