celltype,Moran's I,P-value,num_cell,id,month
SMC,-4.0733901245062335e-05,5.29399750736833e-05,813,HZ4MP202_BF,4
Olig,-6.810637781378043e-05,0.013072771219058608,2474,HZ4MP202_BF,4
ExN,-0.0008449574220561954,0.0025117652866400173,438,HZ4MP202_BF,4
InN,0.00718121817451195,0.0,7936,HZ5M01_BF,5
Astro,0.0060711476060400366,6.9976828621832e-181,913,HZ5M01_BF,5
OPC,0.005352123400981038,1.2033880135335879e-55,367,HZ5M01_BF,5
Peri,0.00411449407659483,9.42104218431414e-300,1512,HZ5M01_BF,5
ExN,0.003521296197003257,0.0,2267,HZ5M01_BF,5
Olig,0.0026075535409630975,2.5691855534755996e-103,1586,HZ5M01_BF,5
Endo,-0.0008578242833324784,1.235411417026218e-06,249,HZ5M01_BF,5
InN,0.0037091429198929473,0.0,6270,HZ5M02_BF,5
ExN,0.0025855891738699494,7.780557974065732e-205,1766,HZ5M02_BF,5
Peri,0.0020004374639602117,6.557737020434794e-148,1861,HZ5M02_BF,5
Olig,0.0012634552625450876,8.941688533510492e-31,1471,HZ5M02_BF,5
Micro,0.000752850150267228,2.4954050262386255e-05,349,HZ5M02_BF,5
Astro,0.00031129279585608396,9.923189189955102e-07,764,HZ5M02_BF,5
OPC,-0.0002686529539218426,2.1920950595525713e-05,351,HZ5M02_BF,5
Endo,-0.0011834622680175068,1.7757703167528703e-05,267,HZ5M02_BF,5
Olig,0.007680460981200659,2.5915724537891088e-68,595,HZ5M03_BF,5
InN,0.003842657102699656,0.0,6426,HZ5M03_BF,5
ExN,0.0021483516636522405,6.860133096143836e-84,1292,HZ5M03_BF,5
Peri,0.001390161643063562,6.477482402749221e-27,1121,HZ5M03_BF,5
Astro,-0.0005960922074501007,0.005128554794312534,306,HZ5M03_BF,5
SMC,-0.002944807539714337,0.008861867502731173,59,HZ5M03_BF,5
InN,0.004795156265555451,0.0,7628,HZ5M04_BF,5
Peri,0.0020778077007458165,3.518811509790145e-69,1289,HZ5M04_BF,5
Astro,0.0016944632840463554,2.4125035376327724e-11,558,HZ5M04_BF,5
ExN,0.001597701096098509,3.222229837667225e-33,807,HZ5M04_BF,5
OPC,0.0007868422459457814,1.7354056736664946e-10,406,HZ5M04_BF,5
Endo,-0.0011885165199150044,5.649575674151946e-07,189,HZ5M04_BF,5
InN,0.006164548871161994,0.0,7498,HZ5M05_BF,5
ExN,0.002697400087147717,3.508584720076761e-163,1515,HZ5M05_BF,5
Peri,0.0013206990808848679,5.756294294683133e-39,1330,HZ5M05_BF,5
OPC,-0.00196445095375331,0.0016780086673264386,208,HZ5M05_BF,5
Micro,0.011249573229241796,5.5088054030099005e-08,170,HZ5M06_BF,5
InN,0.0077526374332287235,0.0,7629,HZ5M06_BF,5
ExN,0.00427980608376103,2.0313439255273072e-82,723,HZ5M06_BF,5
Peri,0.004269256365935431,0.0,2048,HZ5M06_BF,5
Astro,0.0032999621000553837,6.398205392920622e-17,527,HZ5M06_BF,5
Olig,0.0019016489574842004,7.392862363873402e-27,1083,HZ5M06_BF,5
OPC,0.0005881649008278961,3.785441770846795e-05,234,HZ5M06_BF,5
SMC,0.007041866417813957,6.248163189755821e-33,369,HZ6M02_BF,6
Olig,0.0013928413880475612,2.972818908797654e-65,2604,HZ6M02_BF,6
InN,0.0003727152132121371,1.1094444758593935e-17,2323,HZ6M02_BF,6
Astro,0.00037076808036967977,5.780201733943055e-13,2251,HZ6M02_BF,6
ExN,2.590713207762133e-06,2.4760794474651553e-06,1941,HZ6M02_BF,6
Peri,-0.00013431890356159528,0.0008519873054512301,742,HZ6M02_BF,6
ExN,0.008045504041990168,5.746475014533405e-289,809,HZ6M03_BF,6
InN,0.005757345971111649,0.0,4634,HZ6M03_BF,6
Olig,0.0024674925841851885,4.29418348260873e-72,1481,HZ6M03_BF,6
SMC,0.0020220305640165736,5.788857051202128e-10,207,HZ6M03_BF,6
Peri,0.0010174498465076328,3.8277443236292863e-10,532,HZ6M03_BF,6
Astro,0.0008353871941184588,4.2008336643120994e-17,1274,HZ6M03_BF,6
OPC,-0.0004210881761929241,0.00018841595032894026,182,HZ6M03_BF,6
Micro,0.013465982482383024,0.0,1134,HZ6M04_BF,6
