,Moran's I,P-value,num_cell,sample_region,sample,region,month,slice_no,slice,celltype,structure
Micro,0.24146326420806077,0.017829143436042787,140.0,HZ2M01_Basal forebrain,HZ2M01,Basal forebrain,2M,1,ctx,Micro,Basal forebrain
Olig,0.0848004209261149,4.819358774199196e-13,2577.0,HZ2M01_Basal forebrain,HZ2M01,Basal forebrain,2M,1,ctx,Olig,Basal forebrain
ExN,0.06486411361167177,5.890055985706011e-05,2263.0,HZ2M01_Basal forebrain,HZ2M01,Basal forebrain,2M,1,ctx,ExN,Basal forebrain
InN,0.06243903956200867,1.6874130178277095e-05,2716.0,HZ2M01_Basal forebrain,HZ2M01,Basal forebrain,2M,1,ctx,InN,Basal forebrain
Astro,0.04728059180662,0.02599917990445438,1351.0,HZ2M01_Basal forebrain,HZ2M01,Basal forebrain,2M,1,ctx,Astro,Basal forebrain
OPC,0.23111265384513088,0.037428450114154056,283.0,HZ2M01_Prefrontal cortex,HZ2M01,Prefrontal cortex,2M,1,ctx,OPC,Prefrontal cortex
ExN,0.14711546040782042,0.0,25330.0,HZ2M01_Prefrontal cortex,HZ2M01,Prefrontal cortex,2M,1,ctx,ExN,Prefrontal cortex
Olig,0.09990239506442913,4.060469571557291e-12,1983.0,HZ2M01_Prefrontal cortex,HZ2M01,Prefrontal cortex,2M,1,ctx,Olig,Prefrontal cortex
InN,0.07578280099381712,3.8588722712517314e-10,4312.0,HZ2M01_Prefrontal cortex,HZ2M01,Prefrontal cortex,2M,1,ctx,InN,Prefrontal cortex
Astro,0.04684457605127915,0.0005715556960846937,3190.0,HZ2M01_Prefrontal cortex,HZ2M01,Prefrontal cortex,2M,1,ctx,Astro,Prefrontal cortex
InN,0.18039250921099037,1.6399481215226334e-56,4126.0,HZ2M01_Striatum,HZ2M01,Striatum,2M,1,ctx,InN,Striatum
Peri,0.1627469361676463,8.634367776109256e-14,2022.0,HZ2M01_Striatum,HZ2M01,Striatum,2M,1,ctx,Peri,Striatum
SMC,0.13299035244338842,0.012808218030254045,389.0,HZ2M01_Striatum,HZ2M01,Striatum,2M,1,ctx,SMC,Striatum
Astro,0.13114007518197518,2.0288667029771266e-30,3967.0,HZ2M01_Striatum,HZ2M01,Striatum,2M,1,ctx,Astro,Striatum
ExN,0.11011934607160936,1.3649320526534694e-20,5075.0,HZ2M01_Striatum,HZ2M01,Striatum,2M,1,ctx,ExN,Striatum
Olig,0.05306724810484191,2.5170136724636443e-13,7169.0,HZ2M01_Striatum,HZ2M01,Striatum,2M,1,ctx,Olig,Striatum
MSN,0.04792776465416677,7.826077288878859e-14,9574.0,HZ2M01_Striatum,HZ2M01,Striatum,2M,1,ctx,MSN,Striatum
Astro,0.4528753950048819,1.0905245829464727e-06,108.0,HZ2M02_Entorhinal area,HZ2M02,Entorhinal area,2M,2,hippo,Astro,Entorhinal area
Olig,0.07054142269581294,0.022601615409138773,597.0,HZ2M02_Hippocampal formation,HZ2M02,Hippocampal formation,2M,2,hippo,Olig,Hippocampal formation
ExN,0.0505231142478822,4.9265647691494815e-21,9482.0,HZ2M02_Hippocampal formation,HZ2M02,Hippocampal formation,2M,2,hippo,ExN,Hippocampal formation
